#,Learner First Name (s),Learner Last Name,Learner Grade,Learner Class,Learner Mobile Number,Learner Email address (Optional),Parent 1 First Name (s),Parent 1 Last Name,Parent 1 Mobile Number,Parent 1 Email address (Optional),Parent 2 First Name (s),Parent 2 Last Name,Parent 2 Mobile Number,Parent 2 Email address (Optional),,,,,
18,Justin,Watts,Grade 1,Gr 1A,838389282,phyruxus@live.com,Teresa,Watts,838389282,phyruxus@live.com,John,Watts,838389282,phyruxus@live.com,,,,,
19,Cassidy,Taylor,Grade 1,Gr 1A,829702535,thurston@att.net,Jaime,Taylor,829702535,thurston@att.net,John,Taylor,829702535,thurston@att.net,,,,,
20,Angel,Rice,Grade 1,Gr 1A,821995398,knorr@sbcglobal.net,Shannon,Rice,821995398,knorr@sbcglobal.net,Dave,Rice,821995398,knorr@sbcglobal.net,,,,,
21,Alexander,Schmidt,Grade 1,Gr 1A,836189524,irving@me.com,Linda,Schmidt,836189524,irving@me.com,James,Schmidt,836189524,irving@me.com,,,,,
22,Karen,Brown,Grade 1,Gr 1A,8569825,satch@hotmail.com,Taylor,Brown,8569825,satch@hotmail.com,Ryan,Brown,8569825,satch@hotmail.com,,,,,
23,Zachary,Oliver,Grade 1,Gr 1A,833267474,magusnet@aol.com,Valerie,Oliver,833267474,magusnet@aol.com,Robert,Oliver,833267474,magusnet@aol.com,,,,,
24,Erica,Martinez,Grade 1,Gr 1A,846673953,jrkorson@mac.com,Julia,Martinez,846673953,jrkorson@mac.com,Jose,Martinez,846673953,jrkorson@mac.com,,,,,
25,Mrs.,Sally,Grade 1,Gr 1A,83440796,jrifkin@sbcglobal.net,Chelsea,Sally,83440796,jrifkin@sbcglobal.net,Patrick,Sally,83440796,jrifkin@sbcglobal.net,,,,,
26,William,Johnson,Grade 1,Gr 1A,834153419,ducasse@optonline.net,Sherry,Johnson,834153419,ducasse@optonline.net,Jason,Johnson,834153419,ducasse@optonline.net,,,,,
27,Carmen,Aguirre,Grade 1,Gr 1A,846519690,granboul@me.com,Julie,Aguirre,846519690,granboul@me.com,Ronald,Aguirre,846519690,granboul@me.com,,,,,
28,Michelle,Hall,Grade 1,Gr 1A,839006143,fukuchi@gmail.com,Heather,Hall,839006143,fukuchi@gmail.com,Douglas,Hall,839006143,fukuchi@gmail.com,,,,,
29,Jason,Bishop,Grade 1,Gr 1A,839073458,tristan@aol.com,Molly,Bishop,839073458,tristan@aol.com,Johnny,Bishop,839073458,tristan@aol.com,,,,,
30,Patricia,Hill,Grade 1,Gr 1A,828077377,stewwy@hotmail.com,Donna,Hill,828077377,stewwy@hotmail.com,Jeremy,Hill,828077377,stewwy@hotmail.com,,,,,
31,Donald,Holden,Grade 1,Gr 1A,835736714,bowmanbs@outlook.com,Kristen,Holden,835736714,bowmanbs@outlook.com,Aaron,Holden,835736714,bowmanbs@outlook.com,,,,,
32,Brenda,Bradford,Grade 1,Gr 1B,846743005,juliano@icloud.com,Anna,Bradford,846743005,juliano@icloud.com,Nicholas,Bradford,846743005,juliano@icloud.com,,,,,
33,Matthew,Abbott,Grade 1,Gr 1B,829227113,dobey@yahoo.ca,Kristin,Abbott,829227113,dobey@yahoo.ca,Joseph,Abbott,829227113,dobey@yahoo.ca,,,,,
34,Ashley,Lozano,Grade 1,Gr 1B,834281252,joglo@gmail.com,Angela,Lozano,834281252,joglo@gmail.com,Jason,Lozano,834281252,joglo@gmail.com,,,,,
35,James,Rivas,Grade 1,Gr 1B,845622064,campbell@yahoo.ca,Kathleen,Rivas,845622064,campbell@yahoo.ca,Robert,Rivas,845622064,campbell@yahoo.ca,,,,,
36,Elizabeth,Webster,Grade 1,Gr 1B,846759794,agolomsh@aol.com,Amanda,Webster,846759794,agolomsh@aol.com,Perry,Webster,846759794,agolomsh@aol.com,,,,,
37,Melanie,Bailey,Grade 1,Gr 1B,825934464,cantu@msn.com,Denise,Bailey,825934464,cantu@msn.com,Daniel,Bailey,825934464,cantu@msn.com,,,,,
38,Duane,Mills,Grade 1,Gr 1B,838389282,singer@aol.com,Amanda,Mills,838389282,singer@aol.com,Christian,Mills,838389282,singer@aol.com,,,,,
39,Daniel,Johnson,Grade 1,Gr 1B,829702535,jyoliver@yahoo.com,Bailey,Johnson,829702535,jyoliver@yahoo.com,Gregory,Johnson,829702535,jyoliver@yahoo.com,,,,,
40,Christopher,Massey,Grade 1,Gr 1B,821995398,violinhi@aol.com,Debra,Massey,821995398,violinhi@aol.com,Gregory,Massey,821995398,violinhi@aol.com,,,,,
41,Rebekah,Davis,Grade 1,Gr 1B,836189524,malin@me.com,Deborah,Davis,836189524,malin@me.com,Joel,Davis,836189524,malin@me.com,,,,,
42,Daniel,Williams,Grade 1,Gr 1B,8569825,mcrawfor@msn.com,Amber,Williams,8569825,mcrawfor@msn.com,Jeff,Williams,8569825,mcrawfor@msn.com,,,,,
43,Erica,Davidson,Grade 1,Gr 1B,833267474,durist@hotmail.com,Samantha,Davidson,833267474,durist@hotmail.com,Richard,Davidson,833267474,durist@hotmail.com,,,,,
44,Christopher,Duffy,Grade 1,Gr 1B,846673953,luvirini@sbcglobal.net,Anna,Duffy,846673953,luvirini@sbcglobal.net,Riley,Duffy,846673953,luvirini@sbcglobal.net,,,,,
45,Bruce,Nguyen,Grade 1,Gr 1B,83440796,hauma@optonline.net,Kathleen,Nguyen,83440796,hauma@optonline.net,Nathan,Nguyen,83440796,hauma@optonline.net,,,,,
46,Brittany,Richardson,Grade 1,Gr 1B,834153419,roamer@outlook.com,Veronica,Richardson,834153419,roamer@outlook.com,Thomas,Richardson,834153419,roamer@outlook.com,,,,,
47,Maria,Mitchell,Grade 1,Gr 1B,846519690,matthijs@me.com,Rose,Mitchell,846519690,matthijs@me.com,Jerome,Mitchell,846519690,matthijs@me.com,,,,,
48,Robert,Brown,Grade 1,Gr 1B,839006143,dkrishna@optonline.net,Sally,Brown,839006143,dkrishna@optonline.net,Charles,Brown,839006143,dkrishna@optonline.net,,,,,
49,Sean,Johnson,Grade 1,Gr 1B,839073458,khris@yahoo.ca,Brooke,Johnson,839073458,khris@yahoo.ca,Thomas,Johnson,839073458,khris@yahoo.ca,,,,,
50,Kelly,Gray,Grade 1,Gr 1B,828077377,kayvonf@aol.com,Alexandra,Gray,828077377,kayvonf@aol.com,Shawn,Gray,828077377,kayvonf@aol.com,,,,,
51,Jeffrey,Daugherty,Grade 1,Gr 1B,835736714,portele@gmail.com,Crystal,Daugherty,835736714,portele@gmail.com,David,Daugherty,835736714,portele@gmail.com,,,,,
52,Linda,Mueller,Grade 1,Gr 1B,846743005,birddog@me.com,Valerie,Mueller,846743005,birddog@me.com,Tyler,Mueller,846743005,birddog@me.com,,,,,
53,David,Gonzalez,Grade 1,Gr 1B,829227113,grdschl@yahoo.ca,Natasha,Gonzalez,829227113,grdschl@yahoo.ca,Jason,Gonzalez,829227113,grdschl@yahoo.ca,,,,,
54,Tyler,Davis,Grade 1,Gr 1B,834281252,vsprintf@live.com,Natalie,Davis,834281252,vsprintf@live.com,Michael,Davis,834281252,vsprintf@live.com,,,,,
55,Jennifer,Hunt,Grade 1,Gr 1B,845622064,odlyzko@live.com,Brooke,Hunt,845622064,odlyzko@live.com,Roberto,Hunt,845622064,odlyzko@live.com,,,,,
56,Jason,Dominguez,Grade 1,Gr 1B,846759794,mcmillan@gmail.com,Leah,Dominguez,846759794,mcmillan@gmail.com,Eric,Dominguez,846759794,mcmillan@gmail.com,,,,,
57,Amanda,Knox,Grade 1,Gr 1B,825934464,scotfl@icloud.com,Julie,Knox,825934464,scotfl@icloud.com,Bradley,Knox,825934464,scotfl@icloud.com,,,,,
58,Tara,Mcgee,Grade 1,Gr 1B,838389282,valdez@comcast.net,Amber,Mcgee,838389282,valdez@comcast.net,Connor,Mcgee,838389282,valdez@comcast.net,,,,,
59,Ian,Walls,Grade 1,Gr 1B,829702535,lpalmer@att.net,Sarah,Walls,829702535,lpalmer@att.net,Mark,Walls,829702535,lpalmer@att.net,,,,,
60,Ashlee,Garcia,Grade 1,Gr 1B,821995398,wainwrig@sbcglobal.net,Megan,Garcia,821995398,wainwrig@sbcglobal.net,David,Garcia,821995398,wainwrig@sbcglobal.net,,,,,
61,Angela,Snyder,Grade 1,Gr 1B,836189524,grossman@aol.com,Jennifer,Snyder,836189524,grossman@aol.com,Timothy,Snyder,836189524,grossman@aol.com,,,,,
62,Katherine,Hernandez,Grade 1,Gr 1B,8569825,fraser@msn.com,Jessica,Hernandez,8569825,fraser@msn.com,Robert,Hernandez,8569825,fraser@msn.com,,,,,
63,John,Oneal,Grade 1,Gr 1B,833267474,wonderkid@sbcglobal.net,Rebecca,Oneal,833267474,wonderkid@sbcglobal.net,Kevin,Oneal,833267474,wonderkid@sbcglobal.net,,,,,
64,Levi,Ward,Grade 1,Gr 1B,846673953,moinefou@att.net,Ashlee,Ward,846673953,moinefou@att.net,Patrick,Ward,846673953,moinefou@att.net,,,,,
65,Amber,Jordan,Grade 1,Gr 1B,83440796,wikinerd@icloud.com,Robin,Jordan,83440796,wikinerd@icloud.com,Cameron,Jordan,83440796,wikinerd@icloud.com,,,,,
66,Gail,Jones,Grade 1,Gr 1B,834153419,techie@icloud.com,Linda,Jones,834153419,techie@icloud.com,Charles,Jones,834153419,techie@icloud.com,,,,,
67,Molly,Mcdonald,Grade 1,Gr 1B,846519690,osrin@comcast.net,Christine,Mcdonald,846519690,osrin@comcast.net,Samuel,Mcdonald,846519690,osrin@comcast.net,,,,,
68,Jared,Allen,Grade 1,Gr 1B,839006143,jshearer@sbcglobal.net,Stephanie,Allen,839006143,jshearer@sbcglobal.net,Casey,Allen,839006143,jshearer@sbcglobal.net,,,,,
69,Erin,Robinson,Grade 1,Gr 1B,839073458,gozer@outlook.com,Jennifer,Robinson,839073458,gozer@outlook.com,Jesse,Robinson,839073458,gozer@outlook.com,,,,,
70,Joseph,Reyes,Grade 1,Gr 1B,828077377,cgreuter@hotmail.com,Marilyn,Reyes,828077377,cgreuter@hotmail.com,Jeffrey,Reyes,828077377,cgreuter@hotmail.com,,,,,
71,Jeffrey,Ford,Grade 1,Gr 1B,835736714,tsuruta@aol.com,Nicole,Ford,835736714,tsuruta@aol.com,Todd,Ford,835736714,tsuruta@aol.com,,,,,
72,Alexandra,Young,Grade 1,Gr 1B,846743005,emcleod@sbcglobal.net,Christina,Young,846743005,emcleod@sbcglobal.net,Jack,Young,846743005,emcleod@sbcglobal.net,,,,,
73,Alejandro,Harper,Grade 1,Gr 1B,829227113,isorashi@icloud.com,Jasmine,Harper,829227113,isorashi@icloud.com,Roger,Harper,829227113,isorashi@icloud.com,,,,,
74,Gabriel,Stephens,Grade 1,Gr 1B,834281252,dkrishna@comcast.net,Kathleen,Stephens,834281252,dkrishna@comcast.net,Kevin,Stephens,834281252,dkrishna@comcast.net,,,,,
75,Leslie,Johnson,Grade 1,Gr 1B,845622064,cmdrgravy@optonline.net,Rachel,Johnson,845622064,cmdrgravy@optonline.net,Phillip,Johnson,845622064,cmdrgravy@optonline.net,,,,,
76,Eileen,Jimenez,Grade 1,Gr 1B,846759794,grady@comcast.net,Ashley,Jimenez,846759794,grady@comcast.net,Warren,Jimenez,846759794,grady@comcast.net,,,,,
77,Kayla,Johnson,Grade 1,Gr 1B,825934464,adhere@yahoo.ca,Victoria,Johnson,825934464,adhere@yahoo.ca,Jeffrey,Johnson,825934464,adhere@yahoo.ca,,,,,
78,Clifford,King,Grade 1,Gr 1B,838389282,torgox@live.com,Tina,King,838389282,torgox@live.com,Wayne,King,838389282,torgox@live.com,,,,,
79,Tommy,Wiggins,Grade 1,Gr 1B,829702535,tristan@comcast.net,Jaime,Wiggins,829702535,tristan@comcast.net,Leonard,Wiggins,829702535,tristan@comcast.net,,,,,
80,Leslie,Elliott,Grade 1,Gr 1B,821995398,shaffei@mac.com,Michelle,Elliott,821995398,shaffei@mac.com,Christopher,Elliott,821995398,shaffei@mac.com,,,,,
81,Rebecca,Garcia,Grade 1,Gr 1B,836189524,neonatus@yahoo.ca,Amber,Garcia,836189524,neonatus@yahoo.ca,David,Garcia,836189524,neonatus@yahoo.ca,,,,,
82,Oscar,Bennett,Grade 1,Gr 1B,8569825,demmel@verizon.net,Darlene,Bennett,8569825,demmel@verizon.net,Jordan,Bennett,8569825,demmel@verizon.net,,,,,
83,Alicia,Ho,Grade 1,Gr 1B,833267474,nwiger@msn.com,Anna,Ho,833267474,nwiger@msn.com,Thomas,Ho,833267474,nwiger@msn.com,,,,,
84,Mary,Clark,Grade 1,Gr 1B,846673953,geoffr@yahoo.ca,Christina,Clark,846673953,geoffr@yahoo.ca,Samuel,Clark,846673953,geoffr@yahoo.ca,,,,,
85,Ian,Cervantes,Grade 1,Gr 1B,83440796,kourai@sbcglobal.net,Carrie,Cervantes,83440796,kourai@sbcglobal.net,Jason,Cervantes,83440796,kourai@sbcglobal.net,,,,,
86,Jennifer,Butler,Grade 1,Gr 1B,834153419,dialworld@sbcglobal.net,Angela,Butler,834153419,dialworld@sbcglobal.net,Nicholas,Butler,834153419,dialworld@sbcglobal.net,,,,,
87,Angela,Carpenter,Grade 1,Gr 1B,846519690,tubajon@icloud.com,Susan,Carpenter,846519690,tubajon@icloud.com,Brian,Carpenter,846519690,tubajon@icloud.com,,,,,
88,Mr.,Austin,Grade 1,Gr 1B,839006143,chrisj@comcast.net,Dr.,Austin,839006143,chrisj@comcast.net,Ricky,Austin,839006143,chrisj@comcast.net,,,,,
89,James,Gill,Grade 1,Gr 1B,839073458,ramollin@optonline.net,Angela,Gill,839073458,ramollin@optonline.net,David,Gill,839073458,ramollin@optonline.net,,,,,
90,Lee,Jones,Grade 1,Gr 1B,828077377,barlow@hotmail.com,Felicia,Jones,828077377,barlow@hotmail.com,Christopher,Jones,828077377,barlow@hotmail.com,,,,,
91,Jason,Mann,Grade 1,Gr 1B,835736714,geekoid@hotmail.com,Wendy,Mann,835736714,geekoid@hotmail.com,Charles,Mann,835736714,geekoid@hotmail.com,,,,,
92,Joshua,Welch,Grade 1,Gr 1B,846743005,phizntrg@mac.com,Crystal,Welch,846743005,phizntrg@mac.com,Colton,Welch,846743005,phizntrg@mac.com,,,,,
93,Michele,David,Grade 1,Gr 1B,829227113,lcheng@live.com,Jenny,David,829227113,lcheng@live.com,Michael,David,829227113,lcheng@live.com,,,,,
94,Kristy,Edwards,Grade 1,Gr 1B,834281252,gemmell@yahoo.com,Jamie,Edwards,834281252,gemmell@yahoo.com,James,Edwards,834281252,gemmell@yahoo.com,,,,,
95,Sarah,Smith,Grade 1,Gr 1B,845622064,staikos@live.com,Pamela,Smith,845622064,staikos@live.com,Kevin,Smith,845622064,staikos@live.com,,,,,
96,Allen,Giles,Grade 1,Gr 1B,846759794,josem@yahoo.com,Carmen,Giles,846759794,josem@yahoo.com,Christopher,Giles,846759794,josem@yahoo.com,,,,,
97,Jason,Ramirez,Grade 1,Gr 1C,825934464,dvdotnet@yahoo.ca,Cindy,Ramirez,825934464,dvdotnet@yahoo.ca,William,Ramirez,825934464,dvdotnet@yahoo.ca,,,,,
98,Timothy,Robinson,Grade 1,Gr 1C,838389282,willg@sbcglobal.net,Jennifer,Robinson,838389282,willg@sbcglobal.net,Tyler,Robinson,838389282,willg@sbcglobal.net,,,,,
99,Jeremy,West,Grade 1,Gr 1C,829702535,noneme@gmail.com,Crystal,West,829702535,noneme@gmail.com,Carl,West,829702535,noneme@gmail.com,,,,,
100,Luis,Rice,Grade 1,Gr 1C,821995398,nelson@outlook.com,Karen,Rice,821995398,nelson@outlook.com,James,Rice,821995398,nelson@outlook.com,,,,,
101,Cody,Cook,Grade 1,Gr 1C,836189524,comdig@hotmail.com,Christine,Cook,836189524,comdig@hotmail.com,George,Cook,836189524,comdig@hotmail.com,,,,,
102,Shane,Briggs,Grade 1,Gr 1C,8569825,miturria@outlook.com,Carolyn,Briggs,8569825,miturria@outlook.com,Stephen,Briggs,8569825,miturria@outlook.com,,,,,
103,Jenna,Hall,Grade 1,Gr 1C,833267474,bonmots@outlook.com,Ariana,Hall,833267474,bonmots@outlook.com,Geoffrey,Hall,833267474,bonmots@outlook.com,,,,,
104,Jose,Copeland,Grade 1,Gr 1C,846673953,tellis@live.com,Danielle,Copeland,846673953,tellis@live.com,Daniel,Copeland,846673953,tellis@live.com,,,,,
105,Jessica,Simmons,Grade 1,Gr 1C,83440796,slaff@optonline.net,Jill,Simmons,83440796,slaff@optonline.net,Joseph,Simmons,83440796,slaff@optonline.net,,,,,
106,Victoria,Bell,Grade 1,Gr 1C,834153419,rasca@yahoo.com,Brittany,Bell,834153419,rasca@yahoo.com,Daniel,Bell,834153419,rasca@yahoo.com,,,,,
107,Sean,Esparza,Grade 1,Gr 1C,846519690,okroeger@comcast.net,Chelsea,Esparza,846519690,okroeger@comcast.net,Keith,Esparza,846519690,okroeger@comcast.net,,,,,
108,Daniel,Reed,Grade 1,Gr 1C,839006143,jfinke@mac.com,Nancy,Reed,839006143,jfinke@mac.com,Mark,Reed,839006143,jfinke@mac.com,,,,,
109,Thomas,Mason,Grade 1,Gr 1C,839073458,gastown@live.com,Melissa,Mason,839073458,gastown@live.com,Jordan,Mason,839073458,gastown@live.com,,,,,
110,Kathleen,Arnold,Grade 1,Gr 1C,828077377,drewf@optonline.net,Sarah,Arnold,828077377,drewf@optonline.net,Michael,Arnold,828077377,drewf@optonline.net,,,,,
111,Michael,Jenkins,Grade 1,Gr 1C,835736714,gilmoure@att.net,Sharon,Jenkins,835736714,gilmoure@att.net,Phillip,Jenkins,835736714,gilmoure@att.net,,,,,
112,Michelle,Riley,Grade 1,Gr 1C,846743005,bcevc@att.net,Connie,Riley,846743005,bcevc@att.net,Ryan,Riley,846743005,bcevc@att.net,,,,,
113,Tiffany,Rice,Grade 1,Gr 1C,829227113,kostas@att.net,Stephanie,Rice,829227113,kostas@att.net,Alan,Rice,829227113,kostas@att.net,,,,,
114,Mary,Smith,Grade 1,Gr 1C,834281252,ewaters@live.com,Andrea,Smith,834281252,ewaters@live.com,Shaun,Smith,834281252,ewaters@live.com,,,,,
115,Joshua,Garrett,Grade 1,Gr 1C,845622064,monopole@att.net,Sarah,Garrett,845622064,monopole@att.net,Darren,Garrett,845622064,monopole@att.net,,,,,
116,Sandra,Carpenter,Grade 1,Gr 1C,846759794,heidrich@msn.com,Sue,Carpenter,846759794,heidrich@msn.com,David,Carpenter,846759794,heidrich@msn.com,,,,,
117,John,Grimes,Grade 1,Gr 1C,825934464,doche@outlook.com,Jennifer,Grimes,825934464,doche@outlook.com,Joshua,Grimes,825934464,doche@outlook.com,,,,,
118,Chelsea,Patterson,Grade 1,Gr 1C,838389282,stefano@mac.com,Mrs.,Patterson,838389282,stefano@mac.com,Thomas,Patterson,838389282,stefano@mac.com,,,,,
119,Eric,Turner,Grade 1,Gr 1C,829702535,malin@gmail.com,Debra,Turner,829702535,malin@gmail.com,Jared,Turner,829702535,malin@gmail.com,,,,,
120,Zachary,Hamilton,Grade 1,Gr 1C,821995398,hachi@sbcglobal.net,Bonnie,Hamilton,821995398,hachi@sbcglobal.net,Randy,Hamilton,821995398,hachi@sbcglobal.net,,,,,
121,Sydney,Coleman,Grade 1,Gr 1C,836189524,notaprguy@gmail.com,Kristine,Coleman,836189524,notaprguy@gmail.com,Warren,Coleman,836189524,notaprguy@gmail.com,,,,,
122,Daniel,Wheeler,Grade 1,Gr 1C,8569825,singer@mac.com,Christine,Wheeler,8569825,singer@mac.com,James,Wheeler,8569825,singer@mac.com,,,,,
123,Brian,Anderson,Grade 1,Gr 1C,833267474,pereinar@sbcglobal.net,Shannon,Anderson,833267474,pereinar@sbcglobal.net,Jared,Anderson,833267474,pereinar@sbcglobal.net,,,,,
124,Sara,Miles,Grade 1,Gr 1D,846673953,jhardin@me.com,Shelby,Miles,846673953,jhardin@me.com,Anthony,Miles,846673953,jhardin@me.com,,,,,
125,Michelle,Perkins,Grade 1,Gr 1D,83440796,airship@msn.com,Kathy,Perkins,83440796,airship@msn.com,Bradley,Perkins,83440796,airship@msn.com,,,,,
126,Sherry,Turner,Grade 1,Gr 1D,834153419,jaesenj@mac.com,Kim,Turner,834153419,jaesenj@mac.com,Hector,Turner,834153419,jaesenj@mac.com,,,,,
127,Grant,Beck,Grade 1,Gr 1D,846519690,muadip@yahoo.ca,Sandra,Beck,846519690,muadip@yahoo.ca,Dustin,Beck,846519690,muadip@yahoo.ca,,,,,
128,Mrs.,Teresa,Grade 1,Gr 1D,839006143,kuparine@live.com,Colleen,Teresa,839006143,kuparine@live.com,Jason,Teresa,839006143,kuparine@live.com,,,,,
129,Gary,Baldwin,Grade 1,Gr 1D,839073458,mddallara@verizon.net,Suzanne,Baldwin,839073458,mddallara@verizon.net,William,Baldwin,839073458,mddallara@verizon.net,,,,,
130,Ashley,Hughes,Grade 1,Gr 1D,828077377,joelw@yahoo.ca,Pamela,Hughes,828077377,joelw@yahoo.ca,Michael,Hughes,828077377,joelw@yahoo.ca,,,,,
131,Victoria,Watkins,Grade 1,Gr 1D,835736714,cgarcia@outlook.com,Michele,Watkins,835736714,cgarcia@outlook.com,Adam,Watkins,835736714,cgarcia@outlook.com,,,,,
132,Cody,Bradley,Grade 1,Gr 1D,846743005,iapetus@live.com,Stacy,Bradley,846743005,iapetus@live.com,James,Bradley,846743005,iapetus@live.com,,,,,
133,David,Graham,Grade 1,Gr 1D,829227113,retoh@optonline.net,Rhonda,Graham,829227113,retoh@optonline.net,Joseph,Graham,829227113,retoh@optonline.net,,,,,
134,Brianna,Hill,Grade 1,Gr 1D,834281252,amichalo@icloud.com,Ashley,Hill,834281252,amichalo@icloud.com,Vernon,Hill,834281252,amichalo@icloud.com,,,,,
135,Jamie,Mills,Grade 1,Gr 1D,845622064,richard@optonline.net,Ashley,Mills,845622064,richard@optonline.net,William,Mills,845622064,richard@optonline.net,,,,,
136,Michael,Potts,Grade 1,Gr 1D,846759794,janusfury@me.com,Katherine,Potts,846759794,janusfury@me.com,Bryan,Potts,846759794,janusfury@me.com,,,,,
137,Tommy,Villa,Grade 1,Gr 1D,825934464,thurston@me.com,Kelly,Villa,825934464,thurston@me.com,William,Villa,825934464,thurston@me.com,,,,,
138,James,Carson,Grade 1,Gr 1D,838389282,grothoff@mac.com,Jennifer,Carson,838389282,grothoff@mac.com,Derek,Carson,838389282,grothoff@mac.com,,,,,
139,Jonathan,Farley,Grade 1,Gr 1D,829702535,devphil@mac.com,Christine,Farley,829702535,devphil@mac.com,Mark,Farley,829702535,devphil@mac.com,,,,,
140,Leonard,Schmidt,Grade 1,Gr 1D,821995398,yumpy@icloud.com,Carla,Schmidt,821995398,yumpy@icloud.com,Jonathan,Schmidt,821995398,yumpy@icloud.com,,,,,
141,Ashley,Carter,Grade 1,Gr 1D,836189524,breegster@yahoo.ca,Shannon,Carter,836189524,breegster@yahoo.ca,Todd,Carter,836189524,breegster@yahoo.ca,,,,,
142,Andrew,Sampson,Grade 1,Gr 1D,8569825,wainwrig@mac.com,Donna,Sampson,8569825,wainwrig@mac.com,Kristopher,Sampson,8569825,wainwrig@mac.com,,,,,
143,Brandon,Smith,Grade 1,Gr 1D,833267474,facet@mac.com,Amber,Smith,833267474,facet@mac.com,Robert,Smith,833267474,facet@mac.com,,,,,
144,Brittany,Nielsen,Grade 1,Gr 1D,846673953,weazelman@comcast.net,Mary,Nielsen,846673953,weazelman@comcast.net,Jason,Nielsen,846673953,weazelman@comcast.net,,,,,
145,Emily,Hicks,Grade 1,Gr 1D,83440796,pkilab@att.net,Cheryl,Hicks,83440796,pkilab@att.net,Austin,Hicks,83440796,pkilab@att.net,,,,,
146,Julie,Shepherd,Grade 1,Gr 1D,834153419,ylchang@att.net,Beth,Shepherd,834153419,ylchang@att.net,Michael,Shepherd,834153419,ylchang@att.net,,,,,
147,Karen,Richard,Grade 1,Gr 1D,846519690,rattenbt@optonline.net,April,Richard,846519690,rattenbt@optonline.net,Craig,Richard,846519690,rattenbt@optonline.net,,,,,
148,Catherine,Evans,Grade 1,Gr 1D,839006143,nimaclea@yahoo.com,Kristy,Evans,839006143,nimaclea@yahoo.com,Jacob,Evans,839006143,nimaclea@yahoo.com,,,,,
149,Heidi,Dunlap,Grade 1,Gr 1D,839073458,catalog@optonline.net,Emily,Dunlap,839073458,catalog@optonline.net,Donald,Dunlap,839073458,catalog@optonline.net,,,,,
